,src_id,Slope_sorted,Slope_resorted
0,01272,4.89,5.62
1,01302,3.46,2.81
2,01383,8.02,3.51
3,09280,3.46,2.95
4,01291,19.69,10.76
5,01324,21.05,13.37
6,01382,13.25,8.98
7,30084,7.89,6.98
