,src_id,Slope_sorted,Slope_resorted
0,00381,2.76,1.95
1,00525,9.23,6.6
2,00542,3.36,2.81
3,19204,11.38,5.79
4,00539,9.42,7.82
5,00628,9.33,6.76
6,56423,45.23,13.32
