,src_id,Slope_sorted,Slope_resorted
0,01198,124.31,72.93
1,01205,15.73,6.82
2,01209,39.44,12.3
3,01223,3.86,3.22
4,01226,28.77,8.61
5,01249,7.42,5.52
6,01222,9.73,6.67
7,01227,14.58,7.01
8,30448,26.12,12.51
