,src_id,slope_steepness_22px,abs_slope_steepness_22px
0,00003,9.25,9.25
1,00023,-3.68,3.68
2,00032,1.61,1.61
3,00040,-10.24,10.24
4,00044,1.96,1.96
5,00048,5.64,5.64
6,00052,6.0,6.0
7,00054,0.62,0.62
8,00066,16.6,16.6
9,00067,-9.97,9.97
10,00079,-1.09,1.09
11,00105,-16.05,16.05
12,00110,-17.79,17.79
13,00111,-2.72,2.72
14,00113,13.52,13.52
15,00114,11.31,11.31
16,00132,-0.66,0.66
17,00137,-0.37,0.37
18,00148,5.81,5.81
19,00150,3.6,3.6
20,00159,-1.05,1.05
21,00160,-7.42,7.42
22,00161,-3.84,3.84
23,00177,8.46,8.46
24,00195,11.38,11.38
25,00212,-0.24,0.24
26,00235,0.91,0.91
27,00253,-4.47,4.47
28,00268,2.27,2.27
29,00289,8.06,8.06
30,00310,-1.11,1.11
31,00315,2.26,2.26
32,00326,2.6,2.6
33,00339,3.43,3.43
34,16725,-0.16,0.16
35,00358,-4.05,4.05
36,00360,-2.35,2.35
37,00367,1.7,1.7
38,00370,-1.24,1.24
39,00373,5.0,5.0
40,00381,-0.97,0.97
41,00382,2.09,2.09
42,00384,-0.9,0.9
43,00386,0.96,0.96
44,00393,0.44,0.44
45,00395,-0.09,0.09
46,00409,-0.56,0.56
47,00413,-1.28,1.28
48,00421,-4.96,4.96
49,24996,6.42,6.42
50,00426,-6.31,6.31
51,00435,-1.89,1.89
52,00436,1.54,1.54
53,00440,-0.39,0.39
54,00442,-0.48,0.48
55,00455,-0.88,0.88
56,00456,-1.77,1.77
57,00458,-1.71,1.71
58,00461,-0.93,0.93
59,16851,-0.64,0.64
60,00471,1.06,1.06
61,00481,1.06,1.06
62,00487,-0.77,0.77
63,00498,-0.13,0.13
64,00513,-5.06,5.06
65,00516,3.66,3.66
66,00525,5.56,5.56
67,00529,-1.42,1.42
68,00534,-2.59,2.59
69,00542,-0.61,0.61
70,00554,-1.43,1.43
71,00556,1.66,1.66
72,00583,1.34,1.34
73,00595,-1.21,1.21
74,00596,-0.53,0.53
75,00605,1.32,1.32
76,00607,2.4,2.4
77,00613,-1.78,1.78
78,00622,-1.42,1.42
79,00634,-7.65,7.65
80,00643,1.35,1.35
81,00651,1.45,1.45
82,00657,-0.77,0.77
83,00658,-0.78,0.78
84,00660,2.01,2.01
85,00669,3.74,3.74
86,00671,-1.55,1.55
87,00691,2.21,2.21
88,00692,3.37,3.37
89,00697,1.17,1.17
90,00708,0.85,0.85
91,00709,0.42,0.42
92,00719,-0.82,0.82
93,00723,0.6,0.6
94,00726,-4.18,4.18
95,00742,-1.55,1.55
96,00744,-3.66,3.66
97,00775,1.21,1.21
98,00779,0.09,0.09
99,00795,2.8,2.8
100,00811,1.95,1.95
101,00830,-1.13,1.13
102,00842,0.71,0.71
103,00847,0.96,0.96
104,00855,2.23,2.23
105,00862,-1.85,1.85
106,00868,-1.21,1.21
107,00869,-1.21,1.21
108,00876,13.37,13.37
109,00886,1.01,1.01
110,00888,1.0,1.0
111,00889,-0.88,0.88
112,00908,1.11,1.11
113,00918,-9.61,9.61
114,17314,-0.5,0.5
115,00940,7.83,7.83
116,00982,-2.06,2.06
117,00987,-4.45,4.45
118,01005,2.1,2.1
119,01007,2.04,2.04
