,src_id,slope_steepness_6px,abs_slope_steepness_6px
0,00003,12.97,12.97
1,00023,-10.47,10.47
2,00032,1.69,1.69
3,00040,-15.82,15.82
4,00044,2.61,2.61
5,00048,11.93,11.93
6,00052,12.43,12.43
7,00054,-1.68,1.68
8,00066,-6.78,6.78
9,00067,3.86,3.86
10,00079,0.55,0.55
11,00105,-10.24,10.24
12,00110,-27.01,27.01
13,00111,1.8,1.8
14,00113,13.05,13.05
15,00114,7.09,7.09
16,00132,-0.73,0.73
17,00137,-0.74,0.74
18,00148,11.55,11.55
19,00150,12.46,12.46
20,00159,-9.67,9.67
21,00160,-7.43,7.43
22,00161,-3.08,3.08
23,00177,15.08,15.08
24,00195,8.87,8.87
25,00212,-4.25,4.25
26,00235,0.53,0.53
27,00253,3.16,3.16
28,00268,6.62,6.62
29,00289,8.78,8.78
30,00310,-5.85,5.85
31,00315,1.9,1.9
32,00326,-4.76,4.76
33,00339,-9.76,9.76
34,16725,-0.16,0.16
35,00358,-3.2,3.2
36,00360,-6.56,6.56
37,00367,2.34,2.34
38,00370,0.67,0.67
39,00373,7.98,7.98
40,00381,1.15,1.15
41,00382,3.15,3.15
42,00384,0.98,0.98
43,00386,2.29,2.29
44,00393,-1.14,1.14
45,00395,-0.33,0.33
46,00409,-0.65,0.65
47,00413,-4.51,4.51
48,00421,-7.17,7.17
49,24996,1.6,1.6
50,00426,-10.49,10.49
51,00435,-2.73,2.73
52,00436,5.43,5.43
53,00440,-1.44,1.44
54,00442,2.24,2.24
55,00455,-0.8,0.8
56,00456,-4.51,4.51
57,00458,-6.86,6.86
58,00461,1.6,1.6
59,16851,-2.63,2.63
60,00471,-3.18,3.18
61,00481,1.9,1.9
62,00487,-3.17,3.17
63,00498,-0.47,0.47
64,00513,-6.82,6.82
65,00516,-14.13,14.13
66,00525,9.71,9.71
67,00529,2.98,2.98
68,00534,1.17,1.17
69,00542,-1.46,1.46
70,00554,-1.63,1.63
71,00556,2.61,2.61
72,00583,1.29,1.29
73,00595,1.13,1.13
74,00596,1.12,1.12
75,00605,1.74,1.74
76,00607,2.23,2.23
77,00613,1.9,1.9
78,00622,6.04,6.04
79,00634,-22.95,22.95
80,00643,0.49,0.49
81,00651,-3.41,3.41
82,00657,-1.92,1.92
83,00658,2.88,2.88
84,00660,2.89,2.89
85,00669,6.41,6.41
86,00671,-3.98,3.98
87,00691,0.79,0.79
88,00692,3.97,3.97
89,00697,4.1,4.1
90,00708,-0.47,0.47
91,00709,0.47,0.47
92,00719,-2.2,2.2
93,00723,0.79,0.79
94,00726,-3.61,3.61
95,00742,-5.78,5.78
96,00744,-4.87,4.87
97,00775,-1.89,1.89
98,00779,0.68,0.68
99,00795,1.09,1.09
