,src_id,Slope_sorted,Slope_resorted,Slope_sorted2,Slope_resorted2
0,289,16.64,7.3,37.479379390890486,8.607581479990584
1,1060,7.31,5.54,12.600325348566487,7.949524506059998
2,1074,7.27,4.44,10.968253267872228,6.132942594757491
3,1076,3.85,3.18,7.621596737495913,5.602319683852482
4,1083,10.26,8.21,18.009653583759967,11.58514048106258
5,19203,10.7,4.96,22.776449221097756,5.413063586138646
6,25618,5.42,4.88,14.599376424659113,5.162858643781604
7,61875,13.98,7.4,68.08222992377932,7.983732095508412
8,17183,13.16,6.79,25.781217016296058,7.150714431121604
