,src_id,Slope_sorted,Slope_resorted,Slope_sorted2,Slope_resorted2
0,148,10.35,6.29,27.215807199313154,7.181940876381663
1,177,26.19,20.47,45.09257387107799,34.296887660525975
2,55827,10.39,4.97,32.650134547240754,5.3320582246630055
3,176,9.46,4.19,15.20941655417812,4.69381698788008
4,181,4.23,3.95,10.710089811483861,7.543678333959942
5,226,8.78,5.15,21.943928071853485,5.604242391406661
6,62039,13.01,5.63,36.498501702419716,7.494632510618899
7,17310,18.47,8.41,32.281049233741555,10.793919185967072
8,15381,10.5,7.7,14.330239986479812,8.524633147615088
