,src_id,Slope_sorted,Slope_resorted
0,00940,154.64,59.13
1,00982,8.33,5.21
2,01005,9.55,5.53
3,01007,9.35,5.46
4,00926,16.6,6.66
5,00954,9.04,6.78
6,00980,7.78,6.4
7,00996,9.34,6.52
8,57118,9.05,6.23
