,src_id,Slope_sorted,Slope_resorted
0,00498,17.94,11.85
1,00708,8.32,6.41
2,00719,13.37,5.72
3,00742,7.99,4.34
4,00811,9.43,6.85
5,16769,6.01,4.02
6,00818,15.27,12.41
7,07228,4.51,3.33
