,src_id,station_na,station_fi,historic_c,station_la,station_lo,station_el,first_year,last_year,geometry,grid_id,grid_id_distance,Slope_resorted,Slope_sorted
49,583,WITTERING,wittering,cambridgeshire,52.612,-0.468,74,1957,2020,POINT (-0.468 52.612),90,243453.94262815706,1.91,3.08
50,595,CHURCH LAWFORD,church-lawford,warwickshire,52.359,-1.331,107,1990,2020,POINT (-1.331 52.359),90,220696.1579915609,7.68,7.67
51,605,BRIZE NORTON,brize-norton,oxfordshire,51.758,-1.578,82,1968,2020,POINT (-1.578 51.758),90,272317.4654886066,3.43,4.17
52,613,BENSON,benson,oxfordshire,51.62,-1.099,57,1974,2020,POINT (-1.099 51.62),90,298098.34337546455,2.71,3.2
53,622,KEELE,keele,staffordshire,52.999,-2.27,179,2006,2020,POINT (-2.27 52.999),80,144213.15678360008,6.18,11.96
54,634,PENNERLEY,pennerley,shropshire,52.59,-2.95,357,2010,2020,POINT (-2.95 52.59),30,183449.49314906914,11.86,11.87
56,643,SHAWBURY,shawbury,shropshire,52.795,-2.665,72,1957,2020,POINT (-2.665 52.795),50,163490.59726730702,1.97,2.49
57,658,PERSHORE COLLEGE,pershore-college,hereford-and-worcester,52.1,-2.06,37,1999,2020,POINT (-2.06 52.1),90,233410.32216233228,2.11,3.48
58,660,ASTWOOD BANK,astwood-bank,hereford-and-worcester,52.248,-1.935,137,2010,2020,POINT (-1.935 52.248),90,219097.81769819264,4.32,6.89
59,708,HEATHROW,heathrow,greater-london,51.479,-0.451,25,1949,2020,POINT (-0.451 51.479),90,337557.34387124627,6.41,8.32
60,719,WISLEY,wisley,surrey,51.311,-0.476,38,2000,2020,POINT (-0.476 51.311),90,351207.0115342839,5.72,13.37
61,742,GOUDHURST,goudhurst,kent,51.077,0.46,85,2009,2020,POINT (0.46 51.077),90,421127.43245889136,4.34,7.99
62,775,MANSTON,manston,kent,51.347,1.335,49,1961,2020,POINT (1.335 51.347),90,460546.87929886003,2.84,5.69
63,811,"HERSTMONCEUX, WEST END",herstmonceux-west-end,east-sussex,50.891,0.317,52,1992,2020,POINT (0.317 50.891),90,427918.9103650203,6.85,9.43
64,830,"READING UNIVERSITY, WHITEKNIGHTS",reading-university-whiteknights,berkshire,51.441,-0.938,66,2012,2020,POINT (-0.938 51.441),90,320443.31592620467,3.28,6.47
65,842,HURN,hurn,dorset,50.779,-1.836,10,1957,2020,POINT (-1.836 50.779),90,366331.03258926474,11.88,13.84
66,855,OTTERBOURNE W WKS,otterbourne-w-wks,hampshire,51.009,-1.335,34,2010,2020,POINT (-1.335 51.009),90,350566.1384199105,4.49,5.26
67,869,SOUTH FARNBOROUGH,south-farnborough,hampshire,51.28,-0.773,65,1957,2020,POINT (-0.773 51.28),90,341511.92582871777,2.84,2.53
69,888,LARKHILL,larkhill,wiltshire,51.202,-1.806,132,1995,2020,POINT (-1.806 51.202),90,324381.73595409305,3.45,6.17
70,889,BOSCOMBE DOWN,boscombe-down,wiltshire,51.162,-1.755,126,1957,2020,POINT (-1.755 51.162),90,328836.3886701547,5.38,6.01
71,908,MACHRIHANISH,machrihanish,argyll-in-strathclyde-region,55.441,-5.697,10,1965,2020,POINT (-5.697 55.441),9,221448.60769078153,5.6,6.21
72,918,DUNSTAFFNAGE,dunstaffnage,argyll-in-strathclyde-region,56.45,-5.44,3,1980,2020,POINT (-5.44 56.45),9,229085.53406252828,10.36,11.22
74,982,SALSBURGH,salsburgh,lanarkshire,55.861,-3.875,277,1994,2020,POINT (-3.875 55.861),9,72507.57393545102,5.21,8.33
75,1005,AUCHINCRUIVE,auchincruive,ayrshire,55.477,-4.565,48,2005,2020,POINT (-4.565 55.477),9,109846.30307795868,5.53,9.55
76,1007,"PRESTWICK, GANNET",prestwick-gannet,ayrshire,55.515,-4.585,27,1994,2020,POINT (-4.585 55.515),9,112649.24770305332,5.46,9.35
77,1023,ESKDALEMUIR,eskdalemuir,dumfriesshire,55.312,-3.207,236,1954,2020,POINT (-3.207 55.312),29,7348.242739572777,9.23,17.56
78,1033,DUNDRENNAN,dundrennan,kirkcudbrightshire,54.803,-4.008,113,1990,2020,POINT (-4.008 54.803),6,51593.3752162869,7.15,9.49
79,1035,THREAVE,threave,kirkcudbrightshire,54.926,-3.95,73,2005,2020,POINT (-3.95 54.926),6,42762.9251407628,9.32,8.37
80,1039,WEST FREUGH,west-freugh,wigtownshire,54.859,-4.935,11,1961,2020,POINT (-4.935 54.859),6,141388.51410612167,2.99,3.2
82,1060,KESWICK,keswick,cumbria,54.614,-3.157,81,1992,2020,POINT (-3.157 54.614),22,967.2386963751899,5.54,7.31
83,1074,WARCOP RANGE,warcop-range,cumbria,54.572,-2.413,227,1992,2020,POINT (-2.413 54.572),72,3703.39183369467,4.44,7.27
84,1076,SPADEADAM NO 2,spadeadam-no-2,cumbria,55.05,-2.554,285,1992,2020,POINT (-2.554 55.05),67,1491.2221444840575,3.18,3.85
85,1078,WALNEY ISLAND,walney-island,cumbria,54.125,-3.258,15,1992,2020,POINT (-3.258 54.125),10,29998.790448680695,3.68,6.54
86,1083,SHAP,shap,cumbria,54.502,-2.685,252,1992,2020,POINT (-2.685 54.502),51,3426.9820547930112,8.21,10.26
87,1090,"BLACKPOOL, SQUIRES GATE",blackpool-squires-gate,lancashire,53.775,-3.038,10,1957,2020,POINT (-3.038 53.775),30,64860.924737154135,8.66,6.62
88,1111,"PRESTON, MOOR PARK",preston-moor-park,lancashire,53.774,-2.705,33,2009,2020,POINT (-2.705 53.774),50,65580.11957410672,3.83,4.37
89,1132,"NANTWICH, REASEHEATH HALL",nantwich-reaseheath-hall,cheshire,53.086,-2.526,40,2011,2020,POINT (-2.526 53.086),60,135056.03242060583,7.12,8.27
90,1144,HAWARDEN AIRPORT,hawarden-airport,clwyd,53.175,-2.986,11,1992,2020,POINT (-2.986 53.175),30,124865.55887674817,3.29,4.52
91,1161,ABERDARON,aberdaron,gwynedd,52.789,-4.741,86,1993,2020,POINT (-4.741 52.789),0,206840.66409874026,18.12,24.88
92,1166,PORTHMADOG,porthmadog,gwynedd,52.915,-4.158,7,2010,2020,POINT (-4.158 52.915),0,165604.08087028065,9.64,27.32
93,1180,BALA,bala,gwynedd,52.908,-3.584,163,1997,2020,POINT (-3.584 52.908),0,151827.98849566147,12.02,50.56
95,1205,GOGERDDAN,gogerddan,dyfed,52.432,-4.02,31,2011,2020,POINT (-4.02 52.432),0,206427.935661413,6.82,15.73
96,1209,TRAWSGOED,trawsgoed,dyfed,52.344,-3.948,63,1992,2020,POINT (-3.948 52.344),0,213201.2330900778,12.3,39.44
97,1215,MILFORD HAVEN CONSERVANCY BOARD,milford-haven-conservancy-board,dyfed,51.709,-5.053,44,1964,2020,POINT (-5.053 51.709),0,314032.7166561431,17.25,57.25
98,1223,WHITECHURCH,whitechurch,dyfed,51.989,-4.679,129,2011,2020,POINT (-4.679 51.989),0,271619.95523489075,3.22,3.86
99,1226,PEMBREY SANDS,pembrey-sands,dyfed,51.714,-4.367,3,1993,2020,POINT (-4.367 51.714),0,285228.7092113268,8.61,28.77
100,1249,LIBANUS,libanus,powys-south,51.924,-3.489,331,2012,2020,POINT (-3.489 51.924),0,249817.80352502633,5.52,7.42
102,1272,"CARDIFF, BUTE PARK",cardiff-bute-park,south-glamorgan,51.488,-3.189,9,2010,2020,POINT (-3.189 51.488),10,293594.66729657823,5.62,4.89
103,1285,LISCOMBE,liscombe,somerset,51.087,-3.609,348,1993,2020,POINT (-3.609 51.087),0,333794.4594839527,13.77,16.42
104,1302,YEOVILTON,yeovilton,somerset,51.006,-2.643,20,1964,2020,POINT (-2.643 51.006),50,342403.29727814486,2.81,3.46
105,1319,ISLE OF PORTLAND,isle-of-portland,dorset,50.522,-2.456,52,1967,2020,POINT (-2.456 50.522),50,391481.58935664536,7.2,23.46
106,1326,SWANAGE,swanage,dorset,50.614,-1.959,10,2011,2020,POINT (-1.959 50.614),90,382199.5637855583,9.99,16.97
107,1352,NORTH WYKE,north-wyke,devon,50.769,-3.904,177,2000,2020,POINT (-3.904 50.769),0,367861.2585178814,5.57,12.61
108,1383,DUNKESWELL AERODROME,dunkeswell-aerodrome,devon,50.86,-3.24,252,1991,2020,POINT (-3.24 50.86),10,356231.61937087966,3.51,8.02
109,1386,SCILLY: ST MARYS AIRPORT,scilly-st-marys-airport,isles-of-scilly,49.915,-6.296,31,1991,2020,POINT (-6.296 49.915),0,531893.0880303662,8.44,13.26
110,1393,CULDROSE,culdrose,cornwall,50.084,-5.257,76,1977,2020,POINT (-5.257 50.084),0,469113.1707739574,4.21,4.88
112,10268,"WINCHCOMBE, SUDELEY CASTLE",winchcombe-sudeley-castle,gloucestershire,51.948,-1.954,112,2010,2020,POINT (-1.954 51.948),90,248932.29073740216,8.21,10.02
