,src_id,station_na,station_fi,historic_c,station_la,station_lo,station_el,first_year,last_year,geometry,grid_id,grid_id_distance,Slope_resorted,Slope_sorted
194,30448,LLANFYNYDD,llanfynydd,dyfed,51.919,-4.101,104,2014,2020,POINT (-4.101 51.919),0,258102.1456420013,12.51,26.12
195,14444,DUNROBIN CASTLE GARDENS,dunrobin-castle-gardens,sutherland,57.981,-3.943,6,2001,2020,POINT (-3.943 57.981),9,277219.89983067923,9.53,10.76
196,55890,PORT HENDERSON,port-henderson,ross-and-cromarty,57.696,-5.777,18,2013,2020,POINT (-5.777 57.696),9,335086.8278258682,9.0,23.29
197,56130,DAWYCK BOTANIC GARDEN,dawyck-botanic-garden,peebleshire,55.604,-3.323,183,2007,2020,POINT (-3.323 55.604),19,36492.527972625474,10.08,15.75
198,15381,"AUCHTERMUCHTY, ROSSIE",auchtermuchty-rossie,fife,56.299,-3.203,75,1997,2020,POINT (-3.203 56.299),29,105739.64783476018,7.7,10.5
199,7228,"RINGMER, BISHOPS LANE",ringmer-bishops-lane,east-sussex,50.897,0.058,23,2016,2020,POINT (0.058 50.897),90,413436.8731396072,3.33,4.51
200,56423,"MIDDLETON, HILLSIDE",middleton-hillside,derbyshire,53.099,-1.589,295,2009,2020,POINT (-1.589 53.099),90,142336.43602349487,13.32,45.23
201,7621,LINKENHOLT POST OFFICE,linkenholt-post-office,hampshire,51.32,-1.479,197,2013,2020,POINT (-1.479 51.32),90,317197.56577389594,6.66,14.32
202,24219,MANNINGTON HALL,mannington-hall,norfolk,52.844,1.179,30,1999,2020,POINT (1.179 52.844),90,362862.271513975,2.99,2.8
203,57118,BUTE: ROTHESAY NO2,bute-rothesay-no2,buteshire,55.825,-5.056,36,2013,2020,POINT (-5.056 55.825),9,166859.54974585457,6.23,9.05
204,57233,MARGAM NO 2,margam-no-2,glamorganshire,51.555,-3.721,40,2013,2020,POINT (-3.721 51.555),0,287793.96630995837,6.15,7.01
