,level_0,src_id,station_na,station_fi,historic_c,station_la,station_lo,station_el,first_year,last_year,geometry,BASIN_ID,raster_id,rivers_in_watershed_df,closest_point_on_river,distance_closest_point_on_river,height_closest_point_on_river,diff_closest_point_on_river,abs_diff_closest_point_on_river
58,58,2710,THORNES PARK,thornes-park,west-yorkshire,53.672,-1.516,35,2015,2020,POINT (-1.516 53.672),107287,1,"      index  ARCID  UP_CELLS  \
3851   3851  72226       103   
3862   3862  72336       143   
3863   3863  72337       102   
3870   3870  72400       275   
3879   3879  72464       162   
...     ...    ...       ...   
5366   5366  85998       212   
5373   5373  86072       508   
5382   5382  86159       132   
5408   5408  86393       137   
5444   5444  86764       322   

                                               geometry  index_right  \
3851  LINESTRING (-1.33333 54.41458, -1.34375 54.41458)          106   
3862  LINESTRING (-2.21250 54.42500, -2.20625 54.418...          106   
3863  LINESTRING (-1.33958 54.40417, -1.33958 54.410...          106   
3870  LINESTRING (-2.26250 54.41458, -2.25625 54.414...          106   
3879  LINESTRING (-1.52083 54.41667, -1.50208 54.397...          106   
...                                                 ...          ...   
5366  LINESTRING (-1.84167 53.59792, -1.83542 53.597...          106   
5373  LINESTRING (-1.77292 53.59375, -1.79375 53.61458)          106   
5382  LINESTRING (-1.92500 53.58750, -1.93125 53.593...          106   
5408  LINESTRING (-1.75417 53.57500, -1.77292 53.59375)          106   
5444  LINESTRING (-1.82917 53.55625, -1.81875 53.556...          106   

      BASIN_ID  AREA_SQKM  
3851    107287     9309.8  
3862    107287     9309.8  
3863    107287     9309.8  
3870    107287     9309.8  
3879    107287     9309.8  
...        ...        ...  
5366    107287     9309.8  
5373    107287     9309.8  
5382    107287     9309.8  
5408    107287     9309.8  
5444    107287     9309.8  

[358 rows x 7 columns]",POINT (-1.516 53.68124999999933),608.9114167813694,32.0,3.0,3.0
59,59,62033,MIDDLESMOOR,middlesmoor,north-yorkshire,54.164,-1.863,310,2015,2020,POINT (-1.863 54.164),107287,1,"      index  ARCID  UP_CELLS  \
3851   3851  72226       103   
3862   3862  72336       143   
3863   3863  72337       102   
3870   3870  72400       275   
3879   3879  72464       162   
...     ...    ...       ...   
5366   5366  85998       212   
5373   5373  86072       508   
5382   5382  86159       132   
5408   5408  86393       137   
5444   5444  86764       322   

                                               geometry  index_right  \
3851  LINESTRING (-1.33333 54.41458, -1.34375 54.41458)          106   
3862  LINESTRING (-2.21250 54.42500, -2.20625 54.418...          106   
3863  LINESTRING (-1.33958 54.40417, -1.33958 54.410...          106   
3870  LINESTRING (-2.26250 54.41458, -2.25625 54.414...          106   
3879  LINESTRING (-1.52083 54.41667, -1.50208 54.397...          106   
...                                                 ...          ...   
5366  LINESTRING (-1.84167 53.59792, -1.83542 53.597...          106   
5373  LINESTRING (-1.77292 53.59375, -1.79375 53.61458)          106   
5382  LINESTRING (-1.92500 53.58750, -1.93125 53.593...          106   
5408  LINESTRING (-1.75417 53.57500, -1.77292 53.59375)          106   
5444  LINESTRING (-1.82917 53.55625, -1.81875 53.556...          106   

      BASIN_ID  AREA_SQKM  
3851    107287     9309.8  
3862    107287     9309.8  
3863    107287     9309.8  
3870    107287     9309.8  
3879    107287     9309.8  
...        ...        ...  
5366    107287     9309.8  
5373    107287     9309.8  
5382    107287     9309.8  
5408    107287     9309.8  
5444    107287     9309.8  

[358 rows x 7 columns]",POINT (-1.8645833333335275 54.16041666666599),254.86468821344843,225.0,85.0,85.0
60,60,16725,WAINFLEET NO 2,wainfleet-no-2,lincolnshire,53.088,0.271,3,1996,2020,POINT (0.271 53.088),116517,0,,,,,,
61,61,358,FYLINGDALES,fylingdales,north-yorkshire,54.359,-0.672,262,1984,2020,POINT (-0.672 54.359),91599,1,"      index  ARCID  UP_CELLS  \
3782   3782  71435       188   
3788   3788  71511      2660   
3791   3791  71563       163   
3792   3792  71564       381   
3793   3793  71565       888   
3794   3794  71566       124   
3803   3803  71673      1097   
3804   3804  71674       103   
3818   3818  71845       127   
3819   3819  71846      1212   
3820   3820  71847      2393   
3825   3825  71963       213   
3826   3826  71964      1560   
3832   3832  72027       142   
3833   3833  72028       196   
3864   3864  72338       690   
3905   3905  72715       118   
3906   3906  72716       357   
3921   3921  72838       240   
3930   3930  72955       182   

                                               geometry  index_right  \
3782  LINESTRING (-0.99167 54.48125, -0.96875 54.481...           89   
3788  LINESTRING (-0.65208 54.46458, -0.63958 54.464...           89   
3791  LINESTRING (-1.02083 54.46042, -0.96042 54.46042)           89   
3792  LINESTRING (-0.96042 54.46042, -0.95208 54.46875)           89   
3793  LINESTRING (-0.95208 54.46875, -0.94792 54.464...           89   
3794  LINESTRING (-0.60000 54.45833, -0.60625 54.464...           89   
3803  LINESTRING (-0.84792 54.46042, -0.82708 54.460...           89   
3804  LINESTRING (-0.79583 54.45208, -0.80625 54.45208)           89   
3818  LINESTRING (-0.87083 54.43750, -0.86042 54.447...           89   
3819  LINESTRING (-0.80625 54.45208, -0.79375 54.43958)           89   
3820  LINESTRING (-0.72292 54.43958, -0.71875 54.443...           89   
3825  LINESTRING (-0.99583 54.42917, -0.98542 54.439...           89   
3826  LINESTRING (-0.79375 54.43958, -0.78958 54.435...           89   
3832  LINESTRING (-0.82917 54.42708, -0.81875 54.427...           89   
3833  LINESTRING (-0.63750 54.42500, -0.65208 54.439...           89   
3864  LINESTRING (-0.73542 54.40625, -0.73958 54.410...           89   
3905  LINESTRING (-0.77500 54.38125, -0.75208 54.38125)           89   
3906  LINESTRING (-0.75208 54.38125, -0.74792 54.385...           89   
3921  LINESTRING (-0.68750 54.37083, -0.69792 54.381...           89   
3930  LINESTRING (-0.76667 54.36458, -0.75625 54.364...           89   

      BASIN_ID  AREA_SQKM  
3782     91599      352.9  
3788     91599      352.9  
3791     91599      352.9  
3792     91599      352.9  
3793     91599      352.9  
3794     91599      352.9  
3803     91599      352.9  
3804     91599      352.9  
3818     91599      352.9  
3819     91599      352.9  
3820     91599      352.9  
3825     91599      352.9  
3826     91599      352.9  
3832     91599      352.9  
3833     91599      352.9  
3864     91599      352.9  
3905     91599      352.9  
3906     91599      352.9  
3921     91599      352.9  
3930     91599      352.9  ",POINT (-0.6875000000002132 54.370833333332655),1262.6738911177563,160.0,102.0,102.0
62,62,359,WHITBY,whitby,north-yorkshire,54.481,-0.626,41,1973,2020,POINT (-0.626 54.481),91599,1,"      index  ARCID  UP_CELLS  \
3782   3782  71435       188   
3788   3788  71511      2660   
3791   3791  71563       163   
3792   3792  71564       381   
3793   3793  71565       888   
3794   3794  71566       124   
3803   3803  71673      1097   
3804   3804  71674       103   
3818   3818  71845       127   
3819   3819  71846      1212   
3820   3820  71847      2393   
3825   3825  71963       213   
3826   3826  71964      1560   
3832   3832  72027       142   
3833   3833  72028       196   
3864   3864  72338       690   
3905   3905  72715       118   
3906   3906  72716       357   
3921   3921  72838       240   
3930   3930  72955       182   

                                               geometry  index_right  \
3782  LINESTRING (-0.99167 54.48125, -0.96875 54.481...           89   
3788  LINESTRING (-0.65208 54.46458, -0.63958 54.464...           89   
3791  LINESTRING (-1.02083 54.46042, -0.96042 54.46042)           89   
3792  LINESTRING (-0.96042 54.46042, -0.95208 54.46875)           89   
3793  LINESTRING (-0.95208 54.46875, -0.94792 54.464...           89   
3794  LINESTRING (-0.60000 54.45833, -0.60625 54.464...           89   
3803  LINESTRING (-0.84792 54.46042, -0.82708 54.460...           89   
3804  LINESTRING (-0.79583 54.45208, -0.80625 54.45208)           89   
3818  LINESTRING (-0.87083 54.43750, -0.86042 54.447...           89   
3819  LINESTRING (-0.80625 54.45208, -0.79375 54.43958)           89   
3820  LINESTRING (-0.72292 54.43958, -0.71875 54.443...           89   
3825  LINESTRING (-0.99583 54.42917, -0.98542 54.439...           89   
3826  LINESTRING (-0.79375 54.43958, -0.78958 54.435...           89   
3832  LINESTRING (-0.82917 54.42708, -0.81875 54.427...           89   
3833  LINESTRING (-0.63750 54.42500, -0.65208 54.439...           89   
3864  LINESTRING (-0.73542 54.40625, -0.73958 54.410...           89   
3905  LINESTRING (-0.77500 54.38125, -0.75208 54.38125)           89   
3906  LINESTRING (-0.75208 54.38125, -0.74792 54.385...           89   
3921  LINESTRING (-0.68750 54.37083, -0.69792 54.381...           89   
3930  LINESTRING (-0.76667 54.36458, -0.75625 54.364...           89   

      BASIN_ID  AREA_SQKM  
3782     91599      352.9  
3788     91599      352.9  
3791     91599      352.9  
3792     91599      352.9  
3793     91599      352.9  
3794     91599      352.9  
3803     91599      352.9  
3804     91599      352.9  
3818     91599      352.9  
3819     91599      352.9  
3820     91599      352.9  
3825     91599      352.9  
3826     91599      352.9  
3832     91599      352.9  
3833     91599      352.9  
3864     91599      352.9  
3905     91599      352.9  
3906     91599      352.9  
3921     91599      352.9  
3930     91599      352.9  ",POINT (-0.6229166666668817 54.47291666666598),558.5164220478825,2.0,39.0,39.0
63,63,360,SCARBOROUGH,scarborough,north-yorkshire,54.273,-0.423,110,2010,2020,POINT (-0.423 54.273),97004,1,,,,,,
64,64,367,HIGH MOWTHORPE,high-mowthorpe,north-yorkshire,54.105,-0.643,175,2009,2020,POINT (-0.643 54.105),101070,1,"      index  ARCID  UP_CELLS  \
4349   4349  76604       157   
4350   4350  76605      1073   
4351   4351  76606       251   
4394   4394  76936       676   
4395   4395  76937      1402   
4396   4396  76938       253   
4437   4437  77286       250   
4438   4438  77287       144   

                                               geometry  index_right  \
4349  LINESTRING (-0.49167 54.13958, -0.46875 54.139...           98   
4350  LINESTRING (-0.46458 54.13542, -0.44792 54.135...           98   
4351  LINESTRING (-0.40000 54.16042, -0.38125 54.160...           98   
4394  LINESTRING (-0.55208 54.11458, -0.54792 54.118...           98   
4395  LINESTRING (-0.35625 54.13542, -0.35208 54.131...           98   
4396  LINESTRING (-0.27500 54.12708, -0.30208 54.127...           98   
4437  LINESTRING (-0.63750 54.09375, -0.61875 54.093...           98   
4438  LINESTRING (-0.56667 54.09167, -0.55208 54.106...           98   

      BASIN_ID  AREA_SQKM  
4349    101070      256.4  
4350    101070      256.4  
4351    101070      256.4  
4394    101070      256.4  
4395    101070      256.4  
4396    101070      256.4  
4437    101070      256.4  
4438    101070      256.4  ",POINT (-0.6375000000002142 54.093749999999325),815.8375672743019,122.0,53.0,53.0
65,65,370,LECONFIELD,leconfield,humberside,53.875,-0.442,7,1992,2020,POINT (-0.442 53.875),106603,1,"      index  ARCID  UP_CELLS  \
4490   4490  77896       209   
4491   4491  77897       147   
4552   4552  78335       367   
4553   4553  78336       118   
4589   4589  78670       610   
4599   4599  78745       287   
4627   4627  78949       280   
4628   4628  78950       187   
4629   4629  78951       475   
4635   4635  79025      1084   
4636   4636  79026      1523   
4637   4637  79027       150   
4659   4659  79224      1974   
4660   4660  79225       686   
4669   4669  79294       133   
4670   4670  79295       416   
4680   4680  79434      2687   
4696   4696  79582      2829   
4697   4697  79583       705   
4698   4698  79584       337   
4710   4710  79659       137   
4716   4716  79740       263   
4763   4763  80242       261   
4774   4774  80369      1132   
4775   4775  80370      3658   
4790   4790  80519       729   
4797   4797  80585       212   
4798   4798  80586       561   
4813   4813  80735       325   
4822   4822  80817       191   
4828   4828  80878       108   
4847   4847  81014       140   
4854   4854  81084      4939   
4878   4878  81307       301   
4899   4899  81509      5325   
4933   4933  81814      5630   
4964   4964  82168       263   
4965   4965  82169       138   
4978   4978  82260      5852   
5009   5009  82692      6155   
5016   5016  82808       241   
5045   5045  83114       164   

                                               geometry  index_right  \
4490  LINESTRING (-0.45000 54.08333, -0.44375 54.077...          104   
4491  LINESTRING (-0.37500 54.08750, -0.36458 54.077...          104   
4552  LINESTRING (-0.71250 54.03958, -0.70625 54.039...          104   
4553  LINESTRING (-0.60417 54.05000, -0.61042 54.043...          104   
4589  LINESTRING (-0.61042 54.03542, -0.60208 54.027...          104   
4599  LINESTRING (-0.63333 54.00833, -0.62708 54.014...          104   
4627  LINESTRING (-0.51667 54.05833, -0.50625 54.047...          104   
4628  LINESTRING (-0.39167 54.04792, -0.38542 54.047...          104   
4629  LINESTRING (-0.36875 54.06042, -0.34375 54.035...          104   
4635  LINESTRING (-0.53125 54.01458, -0.52708 54.010...          104   
4636  LINESTRING (-0.45208 53.99375, -0.44375 53.993...          104   
4637  LINESTRING (-0.32083 54.02708, -0.31042 54.027...          104   
4659  LINESTRING (-0.43125 53.99792, -0.40208 53.997...          104   
4660  LINESTRING (-0.36042 53.99792, -0.37292 53.985...          104   
4669  LINESTRING (-0.51250 53.97500, -0.50625 53.981...          104   
4670  LINESTRING (-0.47292 53.97708, -0.46458 53.985...          104   
4680  LINESTRING (-0.37292 53.98125, -0.36042 53.96875)          104   
4696  LINESTRING (-0.36042 53.96875, -0.35208 53.96042)          104   
4697  LINESTRING (-0.28958 53.99375, -0.29792 53.993...          104   
4698  LINESTRING (-0.21458 53.95833, -0.21458 53.964...          104   
4710  LINESTRING (-0.40000 53.96458, -0.38542 53.964...          104   
4716  LINESTRING (-0.58333 53.95625, -0.57708 53.956...          104   
4763  LINESTRING (-0.52500 53.93958, -0.50625 53.939...          104   
4774  LINESTRING (-0.41875 53.91875, -0.41458 53.918...          104   
4775  LINESTRING (-0.35208 53.96042, -0.35208 53.952...          104   
4790  LINESTRING (-0.44375 53.90208, -0.43958 53.902...          104   
4797  LINESTRING (-0.55417 53.91042, -0.51875 53.910...          104   
4798  LINESTRING (-0.46875 53.89792, -0.46458 53.902...          104   
4813  LINESTRING (-0.48958 53.88958, -0.48542 53.893...          104   
4822  LINESTRING (-0.57083 53.88542, -0.54792 53.885...          104   
4828  LINESTRING (-0.50417 53.88125, -0.48958 53.881...          104   
4847  LINESTRING (-0.48333 53.87292, -0.47292 53.872...          104   
4854  LINESTRING (-0.38125 53.91042, -0.38542 53.906...          104   
4878  LINESTRING (-0.49167 53.85417, -0.48542 53.860...          104   
4899  LINESTRING (-0.40208 53.86875, -0.39792 53.864...          104   
4933  LINESTRING (-0.39792 53.84375, -0.39375 53.839...          104   
4964  LINESTRING (-0.48333 53.80417, -0.47708 53.810...          104   
4965  LINESTRING (-0.40417 53.80417, -0.39792 53.810...          104   
4978  LINESTRING (-0.37708 53.82708, -0.37292 53.827...          104   
5009  LINESTRING (-0.36458 53.80208, -0.36458 53.797...          104   
5016  LINESTRING (-0.48333 53.76875, -0.47292 53.768...          104   
5045  LINESTRING (-0.40833 53.75000, -0.39792 53.760...          104   

      BASIN_ID  AREA_SQKM  
4490    106603      813.3  
4491    106603      813.3  
4552    106603      813.3  
4553    106603      813.3  
4589    106603      813.3  
4599    106603      813.3  
4627    106603      813.3  
4628    106603      813.3  
4629    106603      813.3  
4635    106603      813.3  
4636    106603      813.3  
4637    106603      813.3  
4659    106603      813.3  
4660    106603      813.3  
4669    106603      813.3  
4670    106603      813.3  
4680    106603      813.3  
4696    106603      813.3  
4697    106603      813.3  
4698    106603      813.3  
4710    106603      813.3  
4716    106603      813.3  
4763    106603      813.3  
4774    106603      813.3  
4775    106603      813.3  
4790    106603      813.3  
4797    106603      813.3  
4798    106603      813.3  
4813    106603      813.3  
4822    106603      813.3  
4828    106603      813.3  
4847    106603      813.3  
4854    106603      813.3  
4878    106603      813.3  
4899    106603      813.3  
4933    106603      813.3  
4964    106603      813.3  
4965    106603      813.3  
4978    106603      813.3  
5009    106603      813.3  
5016    106603      813.3  
5045    106603      813.3  ",POINT (-0.442 53.87291666666599),136.48055959456167,6.0,1.0,1.0
66,66,373,BRIDLINGTON MRSC,bridlington-mrsc,humberside,54.094,-0.176,15,1994,2020,POINT (-0.176 54.094),100726,1,,,,,,
67,67,381,SCAMPTON,scampton,lincolnshire,53.307,-0.548,57,1984,2020,POINT (-0.548 53.307),117487,1,"      index   ARCID  UP_CELLS  \
5865   5865   90590       144   
5866   5866   90591       179   
5880   5880   90681       191   
5889   5889   90745       118   
5899   5899   90833       344   
...     ...     ...       ...   
6986   6986  100063       112   
7023   7023  100313       121   
7024   7024  100314       323   
7111   7111  100967       179   
7248   7248  101980       467   

                                               geometry  index_right  \
5865  LINESTRING (-0.16042 53.35833, -0.16042 53.352...          124   
5866  LINESTRING (-0.12083 53.37917, -0.12708 53.372...          124   
5880  LINESTRING (-0.69583 53.39167, -0.68542 53.381...          124   
5889  LINESTRING (-0.68333 53.33750, -0.67708 53.34375)          124   
5899  LINESTRING (-0.67708 53.34375, -0.67292 53.339...          124   
...                                                 ...          ...   
6986  LINESTRING (-0.26667 52.85833, -0.27292 52.864...          124   
7023  LINESTRING (-0.65833 52.84792, -0.63542 52.84792)          124   
7024  LINESTRING (-0.63542 52.84792, -0.62708 52.856...          124   
7111  LINESTRING (-0.67917 52.81458, -0.66875 52.814...          124   
7248  LINESTRING (-0.62917 52.76250, -0.62292 52.768...          124   

      BASIN_ID  AREA_SQKM  
5865    117487     2924.7  
5866    117487     2924.7  
5880    117487     2924.7  
5889    117487     2924.7  
5899    117487     2924.7  
...        ...        ...  
6986    117487     2924.7  
7023    117487     2924.7  
7024    117487     2924.7  
7111    117487     2924.7  
7248    117487     2924.7  

[141 rows x 7 columns]",POINT (-0.5038333333331266 53.26283333333309),4147.243396743794,30.0,27.0,27.0
68,68,384,WADDINGTON,waddington,lincolnshire,53.175,-0.523,68,1949,2020,POINT (-0.523 53.175),117487,1,"      index   ARCID  UP_CELLS  \
5865   5865   90590       144   
5866   5866   90591       179   
5880   5880   90681       191   
5889   5889   90745       118   
5899   5899   90833       344   
...     ...     ...       ...   
6986   6986  100063       112   
7023   7023  100313       121   
7024   7024  100314       323   
7111   7111  100967       179   
7248   7248  101980       467   

                                               geometry  index_right  \
5865  LINESTRING (-0.16042 53.35833, -0.16042 53.352...          124   
5866  LINESTRING (-0.12083 53.37917, -0.12708 53.372...          124   
5880  LINESTRING (-0.69583 53.39167, -0.68542 53.381...          124   
5889  LINESTRING (-0.68333 53.33750, -0.67708 53.34375)          124   
5899  LINESTRING (-0.67708 53.34375, -0.67292 53.339...          124   
...                                                 ...          ...   
6986  LINESTRING (-0.26667 52.85833, -0.27292 52.864...          124   
7023  LINESTRING (-0.65833 52.84792, -0.63542 52.84792)          124   
7024  LINESTRING (-0.63542 52.84792, -0.62708 52.856...          124   
7111  LINESTRING (-0.67917 52.81458, -0.66875 52.814...          124   
7248  LINESTRING (-0.62917 52.76250, -0.62292 52.768...          124   

      BASIN_ID  AREA_SQKM  
5865    117487     2924.7  
5866    117487     2924.7  
5880    117487     2924.7  
5889    117487     2924.7  
5899    117487     2924.7  
...        ...        ...  
6986    117487     2924.7  
7023    117487     2924.7  
7024    117487     2924.7  
7111    117487     2924.7  
7248    117487     2924.7  

[141 rows x 7 columns]",POINT (-0.5562500000002153 53.197916666666),2689.55976336015,8.0,60.0,60.0
69,69,386,CRANWELL,cranwell,lincolnshire,53.031,-0.504,63,1930,2020,POINT (-0.504 53.031),117487,1,"      index   ARCID  UP_CELLS  \
5865   5865   90590       144   
5866   5866   90591       179   
5880   5880   90681       191   
5889   5889   90745       118   
5899   5899   90833       344   
...     ...     ...       ...   
6986   6986  100063       112   
7023   7023  100313       121   
7024   7024  100314       323   
7111   7111  100967       179   
7248   7248  101980       467   

                                               geometry  index_right  \
5865  LINESTRING (-0.16042 53.35833, -0.16042 53.352...          124   
5866  LINESTRING (-0.12083 53.37917, -0.12708 53.372...          124   
5880  LINESTRING (-0.69583 53.39167, -0.68542 53.381...          124   
5889  LINESTRING (-0.68333 53.33750, -0.67708 53.34375)          124   
5899  LINESTRING (-0.67708 53.34375, -0.67292 53.339...          124   
...                                                 ...          ...   
6986  LINESTRING (-0.26667 52.85833, -0.27292 52.864...          124   
7023  LINESTRING (-0.65833 52.84792, -0.63542 52.84792)          124   
7024  LINESTRING (-0.63542 52.84792, -0.62708 52.856...          124   
7111  LINESTRING (-0.67917 52.81458, -0.66875 52.814...          124   
7248  LINESTRING (-0.62917 52.76250, -0.62292 52.768...          124   

      BASIN_ID  AREA_SQKM  
5865    117487     2924.7  
5866    117487     2924.7  
5880    117487     2924.7  
5889    117487     2924.7  
5899    117487     2924.7  
...        ...        ...  
6986    117487     2924.7  
7023    117487     2924.7  
7024    117487     2924.7  
7111    117487     2924.7  
7248    117487     2924.7  

[141 rows x 7 columns]",POINT (-0.5145833333335492 53.04374999999934),1107.3103541205533,67.0,-4.0,4.0
70,70,393,CONINGSBY,coningsby,lincolnshire,53.094,-0.173,6,1978,2020,POINT (-0.173 53.094),117487,1,"      index   ARCID  UP_CELLS  \
5865   5865   90590       144   
5866   5866   90591       179   
5880   5880   90681       191   
5889   5889   90745       118   
5899   5899   90833       344   
...     ...     ...       ...   
6986   6986  100063       112   
7023   7023  100313       121   
7024   7024  100314       323   
7111   7111  100967       179   
7248   7248  101980       467   

                                               geometry  index_right  \
5865  LINESTRING (-0.16042 53.35833, -0.16042 53.352...          124   
5866  LINESTRING (-0.12083 53.37917, -0.12708 53.372...          124   
5880  LINESTRING (-0.69583 53.39167, -0.68542 53.381...          124   
5889  LINESTRING (-0.68333 53.33750, -0.67708 53.34375)          124   
5899  LINESTRING (-0.67708 53.34375, -0.67292 53.339...          124   
...                                                 ...          ...   
6986  LINESTRING (-0.26667 52.85833, -0.27292 52.864...          124   
7023  LINESTRING (-0.65833 52.84792, -0.63542 52.84792)          124   
7024  LINESTRING (-0.63542 52.84792, -0.62708 52.856...          124   
7111  LINESTRING (-0.67917 52.81458, -0.66875 52.814...          124   
7248  LINESTRING (-0.62917 52.76250, -0.62292 52.768...          124   

      BASIN_ID  AREA_SQKM  
5865    117487     2924.7  
5866    117487     2924.7  
5880    117487     2924.7  
5889    117487     2924.7  
5899    117487     2924.7  
...        ...        ...  
6986    117487     2924.7  
7023    117487     2924.7  
7024    117487     2924.7  
7111    117487     2924.7  
7248    117487     2924.7  

[141 rows x 7 columns]",POINT (-0.177083333333556 53.10624999999934),861.6342341330546,9.0,-3.0,3.0
71,71,382,NORMANBY HALL,normanby-hall,humberside,53.637,-0.659,47,2010,2020,POINT (-0.659 53.637),107497,1,,,,,,
72,72,395,HOLBEACH NO 2,holbeach-no-2,lincolnshire,52.873,0.139,3,1990,2020,POINT (0.139 52.873),117902,0,"      index   ARCID  UP_CELLS  \
7150   7150  101245       139   
7180   7180  101557      1151   
7181   7181  101558       118   
7251   7251  101983       144   
7252   7252  101984      1022   
7361   7361  102709       100   
7362   7362  102710       386   
7363   7363  102711       746   
7378   7378  102788       230   
7428   7428  103199       148   

                                               geometry  index_right  \
7150  LINESTRING (0.04583 52.81667, 0.05625 52.80625...          127   
7180    LINESTRING (0.06458 52.78542, 0.06458 52.80208)          127   
7181  LINESTRING (0.08750 52.78958, 0.07292 52.78958...          127   
7251  LINESTRING (0.00417 52.78958, 0.01042 52.78958...          127   
7252  LINESTRING (0.02292 52.76458, 0.02708 52.76458...          127   
7361  LINESTRING (-0.04792 52.73333, -0.04792 52.72708)          127   
7362  LINESTRING (-0.04792 52.72708, -0.01458 52.72708)          127   
7363  LINESTRING (-0.01458 52.72708, -0.01042 52.727...          127   
7378  LINESTRING (-0.08333 52.72292, -0.05208 52.722...          127   
7428  LINESTRING (-0.03333 52.70000, -0.02292 52.710...          127   

      BASIN_ID  AREA_SQKM  
7150    117902      215.4  
7180    117902      215.4  
7181    117902      215.4  
7251    117902      215.4  
7252    117902      215.4  
7361    117902      215.4  
7362    117902      215.4  
7363    117902      215.4  
7378    117902      215.4  
7428    117902      215.4  ",POINT (0.0874999999997748 52.78958333333268),6575.1372051335575,2.0,1.0,1.0
73,73,409,MARHAM,marham,norfolk,52.651,0.566,21,1957,2020,POINT (0.566 52.651),118718,0,"      index   ARCID  UP_CELLS  \
7215   7215  101801     62237   
7230   7230  101885     61531   
7280   7280  102159       503   
7364   7364  102712     61026   
7365   7365  102713       506   
...     ...     ...       ...   
9287   9287  119173       711   
9288   9288  119174       453   
9289   9289  119175       299   
9319   9319  119424       177   
9320   9320  119425       123   

                                               geometry  index_right  \
7215  LINESTRING (0.38125 52.77292, 0.37708 52.77708...          130   
7230    LINESTRING (0.38542 52.76875, 0.38125 52.77292)          130   
7280  LINESTRING (0.57083 52.77292, 0.56042 52.77292...          130   
7364  LINESTRING (0.37708 52.72708, 0.37708 52.73125...          130   
7365  LINESTRING (0.62500 52.75417, 0.61875 52.74792...          130   
...                                                 ...          ...   
9287  LINESTRING (-0.63542 51.88542, -0.65208 51.885...          130   
9288  LINESTRING (-0.61458 51.88542, -0.63542 51.88542)          130   
9289  LINESTRING (-0.55000 51.90833, -0.55625 51.902...          130   
9319  LINESTRING (-0.62917 51.87083, -0.63542 51.877...          130   
9320  LINESTRING (-0.59167 51.87292, -0.60625 51.872...          130   

      BASIN_ID  AREA_SQKM  
7215    118718     8172.4  
7230    118718     8172.4  
7280    118718     8172.4  
7364    118718     8172.4  
7365    118718     8172.4  
...        ...        ...  
9287    118718     8172.4  
9288    118718     8172.4  
9289    118718     8172.4  
9319    118718     8172.4  
9320    118718     8172.4  

[319 rows x 7 columns]",POINT (0.5562499999997659 52.681249999999345),2142.5512618824014,8.0,13.0,13.0
74,74,413,SANTON DOWNHAM,santon-downham,suffolk,52.459,0.671,6,2009,2020,POINT (0.671 52.459),118718,0,"      index   ARCID  UP_CELLS  \
7215   7215  101801     62237   
7230   7230  101885     61531   
7280   7280  102159       503   
7364   7364  102712     61026   
7365   7365  102713       506   
...     ...     ...       ...   
9287   9287  119173       711   
9288   9288  119174       453   
9289   9289  119175       299   
9319   9319  119424       177   
9320   9320  119425       123   

                                               geometry  index_right  \
7215  LINESTRING (0.38125 52.77292, 0.37708 52.77708...          130   
7230    LINESTRING (0.38542 52.76875, 0.38125 52.77292)          130   
7280  LINESTRING (0.57083 52.77292, 0.56042 52.77292...          130   
7364  LINESTRING (0.37708 52.72708, 0.37708 52.73125...          130   
7365  LINESTRING (0.62500 52.75417, 0.61875 52.74792...          130   
...                                                 ...          ...   
9287  LINESTRING (-0.63542 51.88542, -0.65208 51.885...          130   
9288  LINESTRING (-0.61458 51.88542, -0.63542 51.88542)          130   
9289  LINESTRING (-0.55000 51.90833, -0.55625 51.902...          130   
9319  LINESTRING (-0.62917 51.87083, -0.63542 51.877...          130   
9320  LINESTRING (-0.59167 51.87292, -0.60625 51.872...          130   

      BASIN_ID  AREA_SQKM  
7215    118718     8172.4  
7230    118718     8172.4  
7280    118718     8172.4  
7364    118718     8172.4  
7365    118718     8172.4  
...        ...        ...  
9287    118718     8172.4  
9288    118718     8172.4  
9289    118718     8172.4  
9319    118718     8172.4  
9320    118718     8172.4  

[319 rows x 7 columns]",POINT (0.671 52.46041666666602),95.92056875005716,6.0,0.0,0.0
