station_latitude,station_longitude,distance
60.154,-2.074,85.3960830397832
59.526,-1.63,85.3960830397832
59.526,-1.63,53.69111734993704
59.879,-1.299,53.69111734993704
60.748,-0.856,57.44326074847978
60.447,-1.278,57.44326074847978
59.082,-4.405,69.42882212396513
58.568,-4.763,69.42882212396513
58.953,-2.901,59.27923333184718
58.454,-3.09,59.27923333184718
58.23,-3.922,45.91509118666522
57.819,-3.967,45.91509118666522
57.859,-5.633,45.28543223191706
57.613,-5.306,45.28543223191706
58.213,-6.319,79.86618321343873
57.78,-6.897,79.86618321343873
57.436,-6.769,40.57315127631493
57.78,-6.897,40.57315127631493
57.553,-2.949,44.930552442516344
57.711,-3.323,44.930552442516344
55.441,-5.697,58.16272651769959
55.181,-6.154,58.16272651769959
56.45,-5.44,68.70489895565755
56.028,-4.985,68.70489895565755
54.703,-4.418,46.6774215297198
54.803,-4.008,46.6774215297198
51.006,-2.643,49.93497474164129
51.453,-2.6,49.93497474164129
56.5,-6.881,85.49028902126
57.025,-7.449,85.49028902126
