station_latitude,station_longitude,distance
51.603,-1.113,2.4446710109857954
51.62,-1.099,2.4446710109857954
50.593,-1.213,4.942043883903684
50.624,-1.181,4.942043883903684
55.723,-4.893,3.326813847649841
55.749,-4.908,3.326813847649841
52.749,-3.47,1.0468510943301985
52.757,-3.465,1.0468510943301985
54.56,-5.941,4.3375784371054085
54.584,-5.91,4.3375784371054085
54.584,-5.91,4.798689133991773
54.565,-5.871,4.798689133991773
57.187,-2.215,2.287310726468455
57.205,-2.205,2.287310726468455
55.477,-4.565,4.761543104928747
55.515,-4.585,4.761543104928747
