station_latitude,station_longitude,distance
56.718,-3.77,43.779841256116256
56.326,-3.729,43.779841256116256
55.541,-2.906,41.90257176546626
55.312,-3.207,41.90257176546626
59.112,-3.229,40.346772800244565
58.953,-2.901,40.346772800244565
56.034,-5.428,46.1212707167864
56.45,-5.44,46.1212707167864
50.951,-2.185,43.074517446098135
50.779,-1.836,43.074517446098135
55.047,-3.589,42.12104580267972
54.926,-3.95,42.12104580267972
59.526,-1.63,84.11267656407918
60.139,-1.185,84.11267656407918
60.139,-1.185,76.92816782826834
60.748,-0.856,76.92816782826834
58.454,-3.09,59.27923333184718
58.953,-2.901,59.27923333184718
58.213,-6.319,79.86618321343873
57.78,-6.897,79.86618321343873
56.867,-4.708,49.97662995499321
56.419,-4.661,49.97662995499321
56.94,-4.238,51.05780295363842
57.328,-4.486,51.05780295363842
56.419,-4.661,42.45863754350291
56.048,-4.567,42.45863754350291
51.347,1.335,50.838132648755746
51.297,0.878,50.838132648755746
55.441,-5.697,58.16272651769959
55.181,-6.154,58.16272651769959
54.125,-3.258,44.3456132402807
54.076,-2.86,44.3456132402807
52.789,-4.741,56.25400387288528
53.253,-4.536,56.25400387288528
51.089,-4.149,44.68451077270649
50.769,-3.904,44.68451077270649
49.915,-6.296,112.1834739775549
50.218,-5.328,112.1834739775549
57.358,-7.385,71.3129907415057
57.78,-6.897,71.3129907415057
56.5,-6.881,109.95227154247561
57.358,-7.385,109.95227154247561
57.181,-5.375,48.48680017687528
57.613,-5.306,48.48680017687528
55.681,-6.25,56.345319266993926
55.181,-6.154,56.345319266993926
52.042,-1.013,41.558366150785275
51.669,-0.996,41.558366150785275
