,src_id,slope_steepness_15px,abs_slope_steepness_15px
0,00003,7.38,7.38
1,00023,-5.04,5.04
2,00032,1.92,1.92
3,00040,-11.79,11.79
4,00044,3.54,3.54
5,00048,8.56,8.56
6,00052,9.91,9.91
7,00054,-1.03,1.03
8,00066,16.55,16.55
9,00067,-6.63,6.63
10,00079,0.14,0.14
11,00105,-11.11,11.11
12,00110,-20.49,20.49
13,00111,1.98,1.98
14,00113,14.3,14.3
15,00114,-11.86,11.86
16,00132,-0.49,0.49
17,00137,-0.67,0.67
18,00148,8.01,8.01
19,00150,2.95,2.95
20,00159,-2.01,2.01
21,00160,-6.73,6.73
22,00161,-3.64,3.64
23,00177,7.82,7.82
24,00195,8.82,8.82
25,00212,0.87,0.87
26,00235,0.65,0.65
27,00253,-2.93,2.93
28,00268,3.24,3.24
29,00289,11.3,11.3
30,00310,-1.89,1.89
31,00315,2.17,2.17
32,00326,-2.0,2.0
33,00339,-5.55,5.55
34,16725,-0.2,0.2
35,00358,-4.28,4.28
36,00360,5.36,5.36
37,00367,5.34,5.34
38,00370,-1.14,1.14
39,00373,5.65,5.65
40,00381,0.81,0.81
41,00382,2.14,2.14
42,00384,0.81,0.81
43,00386,-0.93,0.93
44,00393,0.5,0.5
45,00395,-0.06,0.06
46,00409,-0.74,0.74
47,00413,-0.92,0.92
48,00421,-6.13,6.13
49,24996,5.57,5.57
50,00426,-6.69,6.69
51,00435,-2.01,2.01
52,00436,1.82,1.82
53,00440,-0.61,0.61
54,00442,-0.73,0.73
55,00455,-0.61,0.61
56,00456,-2.44,2.44
57,00458,-3.63,3.63
58,00461,-0.67,0.67
59,16851,-0.81,0.81
60,00471,1.93,1.93
61,00481,2.1,2.1
62,00487,-0.9,0.9
63,00498,-0.12,0.12
64,00513,-4.54,4.54
65,00516,6.12,6.12
66,00525,6.24,6.24
67,00529,-2.26,2.26
68,00534,-3.35,3.35
69,00542,-0.49,0.49
70,00554,-1.66,1.66
71,00556,1.79,1.79
72,00583,1.9,1.9
73,00595,0.91,0.91
74,00596,1.03,1.03
75,00605,1.5,1.5
76,00607,-2.72,2.72
77,00613,-1.62,1.62
78,00622,4.08,4.08
79,00634,-16.0,16.0
80,00643,2.09,2.09
81,00651,0.68,0.68
82,00657,-0.97,0.97
83,00658,-0.85,0.85
84,00660,1.52,1.52
85,00669,3.28,3.28
86,00671,-3.38,3.38
87,00691,2.4,2.4
88,00692,3.8,3.8
89,00697,2.21,2.21
90,00708,0.42,0.42
91,00709,0.66,0.66
92,00719,-1.25,1.25
93,00723,0.48,0.48
94,00726,2.03,2.03
95,00742,-5.33,5.33
96,00744,-4.29,4.29
97,00775,1.25,1.25
98,00779,-0.18,0.18
99,00795,1.12,1.12
100,00811,2.3,2.3
101,00830,-1.73,1.73
102,00842,-0.18,0.18
103,00847,1.9,1.9
104,00855,2.78,2.78
105,00862,-1.37,1.37
106,00868,2.2,2.2
107,00869,-1.01,1.01
108,00876,16.89,16.89
109,00886,3.83,3.83
110,00888,1.72,1.72
111,00889,-1.78,1.78
112,00908,1.25,1.25
113,00918,-9.44,9.44
114,17314,-0.83,0.83
115,00940,8.15,8.15
116,00982,-3.78,3.78
117,00987,-11.48,11.48
118,01005,-2.89,2.89
119,01007,2.43,2.43
120,01023,7.26,7.26
121,01033,4.13,4.13
122,01035,-2.46,2.46
123,01039,-0.58,0.58
124,01055,-9.06,9.06
125,01060,10.55,10.55
126,01067,35.7,35.7
127,01070,-1.1,1.1
128,01073,-2.58,2.58
129,01074,5.78,5.78
130,01076,4.55,4.55
131,01078,0.71,0.71
132,01080,-5.29,5.29
133,01083,-6.86,6.86
134,01090,0.34,0.34
135,01111,1.2,1.2
136,01112,-0.69,0.69
137,01119,9.03,9.03
138,01125,0.94,0.94
139,01132,-0.56,0.56
140,01137,-7.1,7.1
141,01144,-1.3,1.3
142,01145,0.79,0.79
143,01161,9.9,9.9
144,01166,16.79,16.79
145,01171,-9.86,9.86
146,01180,-8.52,8.52
147,01190,3.94,3.94
148,01198,-12.87,12.87
149,01204,3.16,3.16
150,01205,-5.25,5.25
151,01209,3.54,3.54
152,01215,5.34,5.34
153,01221,3.56,3.56
154,01223,-4.6,4.6
155,01226,-0.98,0.98
156,01238,6.69,6.69
157,01249,3.02,3.02
158,01255,6.08,6.08
159,01272,1.5,1.5
160,01276,-4.45,4.45
161,01285,3.73,3.73
162,01302,-0.59,0.59
163,01319,5.81,5.81
164,01326,-10.74,10.74
165,01336,-8.0,8.0
166,01345,-3.7,3.7
167,01346,5.35,5.35
168,01352,-2.94,2.94
169,01383,-2.89,2.89
170,01393,-1.22,1.22
171,01395,-1.86,1.86
172,01415,2.81,2.81
173,01418,2.47,2.47
174,01431,-9.58,9.58
175,01435,4.9,4.9
176,01448,7.05,7.05
177,01450,-2.45,2.45
178,01452,-8.78,8.78
179,01467,-10.37,10.37
180,01488,41.68,41.68
181,01502,-0.11,0.11
182,01504,4.98,4.98
183,01507,8.68,8.68
184,01517,3.48,3.48
185,01523,-6.35,6.35
186,01530,-2.3,2.3
187,01534,4.27,4.27
188,01543,1.87,1.87
189,16596,0.38,0.38
190,16611,-10.18,10.18
191,10268,-4.77,4.77
192,16769,-1.77,1.77
193,18903,-0.35,0.35
194,18974,1.13,1.13
195,19187,-1.65,1.65
196,19188,0.97,0.97
197,19192,-4.2,4.2
198,19203,-3.02,3.02
199,19204,-2.06,2.06
200,19206,1.79,1.79
201,19211,3.18,3.18
202,19260,-3.06,3.06
203,17176,5.95,5.95
204,61986,-0.86,0.86
205,62041,-1.47,1.47
206,13343,2.39,2.39
207,17309,-1.12,1.12
208,17344,-11.26,11.26
209,30476,-1.6,1.6
210,14093,-11.82,11.82
211,30523,1.88,1.88
212,30529,0.74,0.74
213,30620,-2.14,2.14
214,30690,-8.87,8.87
215,30750,2.31,2.31
216,25726,-13.77,13.77
217,55827,-13.27,13.27
218,23417,3.56,3.56
219,56216,-3.66,3.66
220,23450,-3.61,3.61
221,56424,2.38,2.38
222,56486,1.0,1.0
